,Duration,Offset,DisplayText
129,10.24,805.15,"Så hmm hmm. En religiös byggnad, en hög toppfågel skillnad, oftast där klockan hänger ja."
130,1.5,819.19,Hmm 20.
131,0.27,821.06,Hej.
132,1.48,822.91,Varför valde du dina kväll?
133,0.69,825.29,Ja.
134,0.99,827.64,Kan va.
135,3.28,832.56,"Byxor ja, typ som en skog."
136,2.47,838.21,"Hmm, är det råder plus?"
137,3.3,843.04,Ja hmm okej.
138,7.07,846.39,"Vissa skillnader som du förknippar med någonting till ett program, till exempel en hmm."
139,3.78,854.99,Ja hmm.
140,1.37,859.22,Hmm.
141,16.3,861.22,Hmm musiken hmm film när vi på musiken typ av låten liten melodi som hmm som spelar liksom blir bara och program hmm eller i slutet hmm.
142,21.2,882.25,"Hmm, någon grej som någon som spelar musik och så är det utomlands och så? Hmm you slå på den stolen hmm hej jag måste verkligen inte någon som slår på en trumma hmm saga det."
143,1.5,907.64,Hmm.
144,19.09,909.19,"Hmm, till exempel köpa alkohol eller räcker så måste du vara hmm över viss ålder så får du köra bil. Hmm så det är byggning förgubbning? Hmm begränsning."
145,8.22,929.05,Ja nästan fast hmm jaha det har att göra hmm.
146,1.3,940.84,Hmm.
147,12.38,942.93,Flera hus på lakan kan man säga hmm. Flera familjer från hmm hus precis bredvid och handla dom inte liksom väljer hej hmm hus.
148,1.21,955.94,Hmm.
149,1.56,959.12,Hmm.
150,2.05,961.04,Hmm ja just ja.
151,12.76,967.27,"Det är ju ljus hy, okej, okej? Ja, hmm, vi har en stor makt och det är en hmm jaha."
152,1.52,982.43,Hmm okej.
153,1.63,984.37,Hmm.
154,1.71,987.51,Hmm.
155,9.47,989.27,"Vill besöka irland typ ja, det är, hmm. När du är på väg nånstans haha hmm hmm resmål ja."
156,5.54,1001.2,"Hmm, det finns i blodet. Det finns både röda och vita. Sommaren ska bli ja."
157,3.72,1009.45,Det finns röda och vita i kroppen i blodet.
158,0.53,1014.11,Jaha.
159,0.42,1017.0,Hmm.
160,3.88,1018.31,Hmm musklerna? Hmm.
161,0.53,1022.61,Blodet.
162,0.98,1028.14,Spela med mig.
163,2.45,1032.34,Ja till och med.
164,2.7,1039.56,"Ja, det är overkill svängde jag."
165,2.15,1045.87,If your car.
