,Duration,Offset,DisplayText
126,6.84,928.28,Ja hmm på typ semestern eller liknande hmm.
127,0.83,936.63,Ja.
128,7.55,940.68,"Till exempel, un om du vill köpa IU eller att dom ha in ja."
129,13.9,949.78,"Ja, man måste för att komma in på vissa ställen eller salt typ köpa alkohol så måste du vara 18 år och det är för att det finns än hmm."
130,1.36,964.74,Is.
131,1.08,969.1,Det är.
132,0.93,974.43,Hmm.
133,4.6,979.19,Hmm ja.
134,8.96,988.31,Din del på din blod jaha. Vi finns både och byta hmm.
135,1.39,997.98,Hmm.
136,6.43,1001.26,O än finns såna över hela världen. Hmm?
137,4.4,1008.22,Inga ganska bekanta i gruppen från honom.
138,5.42,1014.94,Frågorna precis jaha hmm o.
139,1.59,1020.57,Hmm.
140,6.84,1022.51,"Man kan bli vidare med de nyligen här. Nej, ja, hus och ja."
141,2.68,1032.17,Ja hmm.
142,18.91,1034.9,Om ni har en jaha vi ses i hmm man hmm man väljer om man väljer vilka som ska bestämma i landet eller kring exempelvis hmm man fattar beslut för hela folket har beslut genom att.
143,9.89,1055.36,Hur man kan leva ja hmm folkomröstning sägs det är hela tiden. Hmm spelare.
144,0.52,1069.94,Se mer.
145,3.71,1074.75,7 har han var så snabbt ja.
146,4.57,1081.73,Match så vilken god takt ut i orion.
