,Duration,Offset,DisplayText
57,0.47,388.21,Hmm.
58,9.56,390.37,"Hmm, är hur snäll kanske? Det kan vara nån gammal hus och sen. Hmm ja."
59,0.62,402.26,Jaha.
60,4.48,405.29,De som man gör med andra och ibland kom ihop eller inte.
61,2.71,410.41,Ja medan man sover.
62,1.49,417.93,Hmm.
63,5.2,420.93,Fantasier som uppstår mellan sår ja.
64,4.33,429.57,"Första? Ja, jag har ju ha."
65,7.79,437.84,"Ett verktyg för att sprida ut färg målar färg på en yta. Jaha, ja."
66,3.37,448.96,Hmm ja hmm.
67,13.46,454.24,Hej verktyg med att hmm hårstrån en strån eller syntetiska hyllor som man doppar i färg för att sedan sprida ut färgen och en yta eller barn. Ja hmm.
68,6.45,472.37,"Hmm, fågel som kan som är bara din tomater. Ja."
69,5.07,481.04,"Jag kan se i morgon verkligt fall där, säger man ja."
70,5.79,490.5,"Den stora nationer en stor rovfågel, aldrig vaken på natten."
71,5.74,498.96,Hmm ja det.
72,6.42,507.89,Djur med långa horn ja som även är en stjärnbild.
73,0.63,516.2,Jaha.
74,3.56,520.05,Hmm får hmm.
75,12.89,527.21,"Hur man dör om man är i på kyrkogården, man får ta lite man skriva kram när ditt namn kommer att bli. Hmm ja sten."
76,0.59,541.95,Ja.
77,8.5,544.25,"Dom personer som har en själv till mormor, morfar, farmor eller farfar jaha."
78,1.58,556.0,Hmm dom.
79,9.52,560.67,"Ja mina barn har mig pappa, men dom som har mig till farfar hmm dom är mina hmm."
80,0.58,572.14,Ja.
81,16.31,575.48,"En stor gul som finns, hmm mot polen kanske som är ja du kan ju bo i på jätte frisk mig så kallas det."
82,0.68,594.13,Ja.
83,1.51,598.01,Hmm.
84,3.18,601.73,Ja hmm.
85,6.05,605.03,Ja möjligheten att delta i allmänna val.
86,0.2,615.12,
87,1.42,616.07,Hmm.
88,11.68,620.26,Ja en individs möjlighet att delta i ett val. Man får den här möjligheten om man har blivit myndig och kvinnor fick den i sverige på 1920 tal.
89,5.01,643.98,Allmän sådan infördes i sverige 1912 ja.
90,2.57,652.02,Rätten att delta i val.
91,0.34,660.55,Hmm.
92,9.6,667.3,"Ja, hmm, det är en del av hmm kyrka."
93,1.49,679.08,Hmm 20.
94,7.24,681.6,"Ja, det är alla, fast det är. Det brukar vara i på aktuell igen."
95,17.12,690.87,"Hmm, arkitektkontor. Det är en del av en käkarna. Ja, om man pratar om är viktigt år. Ja, det är högsta struktur en tjej hmm katedralen."
96,1.57,709.34,Hmm 20.
97,0.34,712.92,Hmm.
98,3.15,715.53,M planta som står inomhus i ett kärl.
99,6.28,730.28,En dekorativ vegetation som står inomhus. Hmm?
100,17.15,737.7,"Man, ja, det kan väl behöver inte vara ärlig hmm? Och det är ju inte en blomma som sitter och tittar ned i vatten och den växer. Den kan växa permanent i en skål där det står någon form av meditation inomhus i vägen."
101,1.6,756.12,Hmm växten.
102,7.3,761.45,"Men den stora hmm jo, men det måste stå i en sorts skål eller kopp ja."
103,1.49,772.16,Hmm.
104,0.41,774.17,Hmm.
105,0.23,776.8,Hmm.
106,8.92,783.25,"Jag tyckte det var så. Jag tror jag såg var bakgrunden innan den här. Ja, vi har ju en illustration. Jag trodde att du inte får ha."
107,9.57,795.34,En sekvens av tecken som används för att ge access till ett system av oklar vid inloggning. Jaha.
108,1.45,808.19,Hmm filer.
109,6.17,811.76,Åt eller domare som man brukar blanda för att logga in till nånting.
110,1.58,818.75,Hmm lösenord.
111,0.66,821.88,Jaha.
112,8.98,827.56,Märken i snö eller jord som bildas när en person promenera på. Ja.
113,1.38,841.15,Hmm så.
114,8.91,845.2,"Men inte vilka spår som helst inte är inte spår av en cykel utan att man har gått den vägen. Ja, ja, det har gått med fötter."
115,5.13,855.86,Om man kommer följderna då lämnar man lite på golvet.
116,2.04,862.64,"Det här? Ja, ja, det stör mig."
117,1.48,867.56,Hmm varning.
118,1.44,869.93,Hmm.
119,1.9,872.89,Jaha ska jag ha?
120,1.67,876.51,Hmm.
121,2.96,880.15,Musik som inleds.
122,4.25,883.34,Eller någon form av program varje avsnitt?
123,1.47,891.21,Hmm innan.
124,8.54,895.76,N en specifik melodi som spelas vanligen i början eller i slutet av ett program varje gång.
125,5.23,904.98,Ja en sorts sorts tema musikaliskt tema för ett program.
126,0.74,910.93,Ja.
127,0.47,918.32,Ja.
128,1.68,919.7,Lopp det går an.
129,0.73,922.44,Ja.
130,1.48,926.19,Hmm bandy.
131,1.5,932.21,Hmm.
132,0.61,934.74,Jaha.
133,7.04,938.63,"Hmm, ja en konstruktion som används för att möjliggöra."
134,11.74,946.11,Massage över vatten eller en klyfta en bygge som bygger på att man har torn ett par stycken torn och från dom ja hmm.
135,1.49,960.28,Hmm järn.
136,12.87,964.33,"Vid constructions metod, som bygger på att det finns långa kablar som bär upp konstruktionen. Ja, exempel i golden gate ja."
137,1.51,980.04,Hmm.
138,5.19,984.08,Hmm takkonstruktion som ja.
139,0.56,991.69,Ja.
140,4.02,995.34,
141,0.62,1000.99,Hmm.
142,2.43,1003.42,Jaha. Hmm.
143,2.02,1006.48,Det är man säljer.
144,6.26,1010.21,"Om man vill köpa alkohol? Jaha, det finns ett ja."
145,12.87,1017.67,"Det finns det finns en limit för att köpa gräns, en gräns för att köpa alkohol till exempel ja, ska till gammal ja precis så det är."
146,1.49,1033.55,Hmm.
147,7.14,1036.77,"Ja, den högsta religiösa representanten för ett stift. Ja."
148,3.62,1047.3,
149,1.46,1052.26,Hmm.
150,3.39,1054.65,Resten i en domkyrka? Jaha.
151,3.46,1063.69,Ja hans brask hade den här typen. Jaha.
152,0.83,1072.24,Hmm.
153,6.16,1075.08,Vad som är en del av till kyrkan? Ja.
154,8.92,1082.13,"Det finns en sån för varje stift och så finns det en jaha. Ja, precis som till varje pris i sverige och det har precis till."
155,1.87,1095.37,Hmm kejsaren.
156,2.58,1100.82,Oj hmm.
157,4.87,1105.01,"Ja, man kan äta den här att, hmm."
158,0.57,1111.87,Ja.
159,7.02,1115.84,Ja men ska man sky som man använder för att tillverka hmm olika textiler.
160,1.86,1124.17,"Ja, det är hela tiden."
161,1.3,1128.93,Hmm ja.
162,0.7,1130.96,Ja.
163,0.49,1135.83,Hmm.
164,0.83,1139.79,Hej.
165,4.04,1144.03,Enkel match kan vi gå på aktiviteter och kvistar.
166,1.75,1149.38,
