,Duration,Offset,DisplayText
37,3.98,278.49,Rummet var man kan ja.
38,3.82,285.7,Det är rum i huset där du går på toa.
39,0.58,290.39,Jaha.
40,5.44,294.4,Hmm om du kan duscha dig också. Ja.
41,4.18,303.46,Hmm datum ja ja.
42,2.77,310.83,Du blir över den här om du ska måla någonting.
43,0.36,317.14,Hmm.
44,3.08,323.41,För att hmm.
45,5.1,327.15,"Månad, så behöver du färg och sen behöver du den här saken."
46,1.48,337.51,Hmm.
47,0.54,340.73,Nya.
48,0.6,345.24,Ja.
49,5.9,347.68,"Ja, det är sjuk. Kan du gå till den istället?"
50,1.49,356.45,Hmm läkare.
51,1.38,360.13,En butik.
52,1.63,363.48,Hmm.
53,8.36,365.94,"Hmm, det har hmm något för att använda hmm apotek ja."
54,0.46,375.89,Ja.
55,5.36,378.69,"Om du har vunnit i en tävling, så kan du få en sån här jaha."
56,1.57,385.43,Hmm.
57,11.14,387.87,"Hmm, men han hmm också en speciell färg så vidare till bara god. Okej? Ja så slå ihop dom 2."
58,4.0,400.5,Hmm ja ja.
59,1.52,408.51,Hmm.
60,6.63,410.88,Många är rädd för dom här om man om man dör så kan man bli en sån här. Ja.
61,8.23,419.84,"Man tycker att delta i spent eller att man kan inte se det också. Hmm sverige, ja."
62,0.64,429.86,Haha.
63,8.94,433.07,"Ja, om du gör ett prov så hmm hmm."
64,7.22,443.42,"Hmm, undrade ett annat ord för om det där. Hmm, ja."
65,4.78,455.25,"Det är en fågelsång. Hmm, vakna mitt i natten."
66,0.65,461.61,Ja.
67,6.12,464.48,"Vidare hela huvudet, runt 360 grader. Hmm."
68,7.06,474.51,"Ja, hmm, det är som en get som lever bland bergen. Ja."
69,2.87,484.96,Hmm hmm sten bok ja.
70,1.03,491.6,Okej ja.
71,15.46,494.58,"Den sport får man ska först springa fort och sen hmm, det har gått för att sticka ut märken. Hmm hej på ja hej hmm."
72,1.53,514.8,Hmm.
73,2.67,516.56,"Jaha, instrument."
74,1.97,519.55,För att göra musik?
75,0.73,522.15,Ja.
76,0.75,525.27,Hmm.
77,7.31,527.59,Hmm tyska svårt men sommar och jaja.
78,0.65,539.24,Jaha.
79,1.5,542.5,Hmm.
80,7.42,544.47,"Ja, farmor eller morfar har det här. Jaha."
81,4.26,553.87,Hmm hmm om dom ja.
82,0.41,559.46,Ja.
83,1.54,563.85,Hmm.
84,3.78,566.08,"Går i ja, sant?"
85,8.09,571.45,"Ja hmm, då lämnar du något på marken? Ja, vad du äter."
86,1.84,581.54,Hmm fotspår.
87,0.51,585.03,Ja.
88,1.49,588.55,Hmm.
89,5.63,590.39,Man kan ha en hund eller en katt. Och vad kallas det? Jaha.
90,3.95,599.32,Hmm kan väl? Hmm vad.
91,9.22,603.85,Kallas en grupp för hund katt kanin och så vidare. Hmm husdjur. Ja ja.
92,0.87,614.45,
93,3.9,624.17,Platsen där du har massa gravstenar? Ja.
94,6.22,629.72,Och toppen på den platsen. Hmm 20 ton ja okej?
95,15.68,640.23,"Ja, det är ja, hmm, ett djur som är vik och farligt. Ja, hmm. Och så blev det bingo. Den går vi in förekommer."
96,1.6,657.94,Ja för.
97,5.75,661.7,"Hmm, skön du är frisk isbjörn? Ja, ja."
98,0.77,671.76,Jaha.
99,2.37,677.51,Hmm det.
100,3.8,684.23,"Hmm, färgen är orange."
101,3.56,689.26,Ja ja jens är.
102,8.36,695.4,Man kan dela upp word i 2 delar hmm ja hmm.
103,0.66,706.47,Ja.
104,4.6,710.3,Om du sover dåligt och vaknar mitt i natten. Jaha.
105,3.94,717.69,"Hmm, den här. Hmm, morgon? Ja."
106,0.84,730.23,Hmm.
107,8.43,732.31,"Om du äter och det är ohälsosamt jaha hmm, det är ofta den typ av mat."
108,5.3,741.73,"Jaha den typ, till exempel pizza eller hamburgare."
109,2.07,747.79,Hmm snabbmat ja.
110,3.49,755.08,Hmm en planta som du kan ha inomhus.
111,0.84,759.49,Ja.
112,0.84,765.71,Ska miljön.
113,1.58,767.69,Hmm.
114,1.5,769.93,Hmm.
115,4.14,771.48,Hmm nästa hmm.
116,0.48,775.67,Ja.
117,0.79,777.64,Ja.
118,4.93,788.25,Första hmm.
119,1.76,793.59,Kusiners pappa.
120,1.51,799.56,Hmm.
121,0.27,802.51,Hej.
122,1.49,805.69,Hmm.
123,0.49,807.26,Ja.
124,0.65,810.58,Ja.
125,0.69,820.7,Hmm.
126,0.72,823.18,Det är.
127,1.69,825.41,Inte ett lag.
128,9.17,828.05,"Men, hmm, det gör det möjligt för att välja vem som är hmm president, hmm."
129,11.48,839.71,"Hmm folkomröstning haha ja alla måste inte, men man får göra det. Hmm rösträtt ja."
130,0.4,852.77,Ja.
131,0.31,858.05,Vid.
132,8.94,860.35,Nästan som om sy fast. Det är en stor maskin för att sy om du ska göra något större. Ja.
133,8.46,872.16,"Man väntade dig inte nu, visst inte så mycket. Jaha eftersom det är industriell det."
134,2.4,882.19,Hmm ja.
135,2.28,893.66,Hmm hmm.
136,8.28,900.27,Ja om det är på semestern och det går hmm nog åka någonstans. Vi har det.
137,3.82,910.65,Hmm resmål ja ja.
138,1.5,918.5,Hmm.
139,4.88,920.23,"Kroppen, så har du det här. Det är pumpas i ditt hjärta."
140,1.54,929.8,Hmm.
141,1.98,933.75,Hmm musslorna.
142,4.18,937.17,"Hmm, det är rött. Ja."
143,6.16,943.62,"Composite runt i och hmm. Kroppar, okej? Hmm."
144,1.56,958.29,Ja hmm.
145,0.62,961.76,Ja.
146,1.44,964.32,Hmm.
147,2.94,966.43,Hmm hmm.
148,10.05,969.42,Ja magnifik hmm jaha by week hmm.
149,1.43,979.82,Hmm.
150,10.88,982.82,"Hmm underberg? Ja ja, det är visst många såna saker. Ja, jag tror det är helt rätt."
151,1.67,996.88,Hmm posten.
152,10.54,1000.45,"Hmm, det är inte en präst, men han hör till kyrkan. Hmm pastorn? Nej hej då."
153,1.59,1013.83,Hmm mysko.
154,0.72,1017.55,Jaha.
155,8.31,1024.79,Hmm om man ska korsa vattnet med bilen så kan man åka på den här. Ja.
156,14.16,1036.89,"Hmm moberg över vattnet? Hmm ja, det är hela tiden vi har tack för att ni spelar mig tack själv."
157,5.52,1056.09,Läs att vi kan gå direkt till sängbord i sverige.
158,1.26,1064.88,Ankarsrums.
